,1,10,20,30,40,50,60,70,80,90,100
0.001,"(93.40866290018832, 0.9317813287717144)","(96.045197740113, 0.9591282734781474)","(95.66854990583803, 0.9554375044687523)","(95.66854990583803, 0.9554375044687523)","(95.66854990583803, 0.9554375044687523)","(95.66854990583803, 0.9554375044687523)","(95.66854990583803, 0.9554375044687523)","(95.66854990583803, 0.9554375044687523)","(95.66854990583803, 0.9554375044687523)","(95.66854990583803, 0.9554375044687523)","(95.66854990583803, 0.9554375044687523)"
0.005,"(94.91525423728814, 0.9464418204832716)","(96.42184557438794, 0.9623634134919608)","(96.42184557438794, 0.9623634134919608)","(96.42184557438794, 0.9623634134919608)","(96.42184557438794, 0.9623634134919608)","(96.42184557438794, 0.9623634134919608)","(96.42184557438794, 0.9623634134919608)","(96.42184557438794, 0.9623634134919608)","(96.42184557438794, 0.9623634134919608)","(96.42184557438794, 0.9623634134919608)","(96.42184557438794, 0.9623634134919608)"
0.01,"(94.72693032015066, 0.9447637694235096)","(95.10357815442562, 0.948555545835838)","(95.10357815442562, 0.948555545835838)","(95.10357815442562, 0.948555545835838)","(95.10357815442562, 0.948555545835838)","(95.10357815442562, 0.948555545835838)","(95.10357815442562, 0.948555545835838)","(95.10357815442562, 0.948555545835838)","(95.10357815442562, 0.948555545835838)","(95.10357815442562, 0.948555545835838)","(95.10357815442562, 0.948555545835838)"
0.015,"(94.35028248587571, 0.9414971509456459)","(94.35028248587571, 0.9416034360900836)","(94.35028248587571, 0.9416034360900836)","(94.35028248587571, 0.9416034360900836)","(94.35028248587571, 0.9416034360900836)","(94.35028248587571, 0.9416034360900836)","(94.35028248587571, 0.9416034360900836)","(94.35028248587571, 0.9416034360900836)","(94.35028248587571, 0.9416034360900836)","(94.35028248587571, 0.9416034360900836)","(94.35028248587571, 0.9416034360900836)"
0.02,"(92.46704331450094, 0.9251639833746376)","(92.8436911487759, 0.9283255330670699)","(92.8436911487759, 0.9283255330670699)","(92.8436911487759, 0.9283255330670699)","(92.8436911487759, 0.9283255330670699)","(92.8436911487759, 0.9283255330670699)","(92.8436911487759, 0.9283255330670699)","(92.8436911487759, 0.9283255330670699)","(92.8436911487759, 0.9283255330670699)","(92.8436911487759, 0.9283255330670699)","(92.8436911487759, 0.9283255330670699)"
0.025,"(80.7909604519774, 0.8254038292965674)","(83.42749529190208, 0.8482351256573629)","(83.42749529190208, 0.8482351256573629)","(83.42749529190208, 0.8482351256573629)","(83.42749529190208, 0.8482351256573629)","(83.42749529190208, 0.8482351256573629)","(83.42749529190208, 0.8482351256573629)","(83.42749529190208, 0.8482351256573629)","(83.42749529190208, 0.8482351256573629)","(83.42749529190208, 0.8482351256573629)","(83.42749529190208, 0.8482351256573629)"
0.03,"(62.335216572504706, 0.638797215423461)","(67.41996233521658, 0.699823181451878)","(67.41996233521658, 0.699823181451878)","(67.41996233521658, 0.699823181451878)","(67.41996233521658, 0.699823181451878)","(67.41996233521658, 0.699823181451878)","(67.41996233521658, 0.699823181451878)","(67.41996233521658, 0.699823181451878)","(67.41996233521658, 0.699823181451878)","(67.41996233521658, 0.699823181451878)","(67.41996233521658, 0.699823181451878)"
0.035,"(45.38606403013183, 0.42013939671533757)","(49.90583804143126, 0.4844530078321747)","(49.90583804143126, 0.4844530078321747)","(49.90583804143126, 0.4844530078321747)","(49.90583804143126, 0.4844530078321747)","(49.90583804143126, 0.4844530078321747)","(49.90583804143126, 0.4844530078321747)","(49.90583804143126, 0.4844530078321747)","(49.90583804143126, 0.4844530078321747)","(49.90583804143126, 0.4844530078321747)","(49.90583804143126, 0.4844530078321747)"
0.04,"(36.346516007532955, 0.295288677583636)","(39.92467043314501, 0.34573614506994804)","(39.92467043314501, 0.34573614506994804)","(39.92467043314501, 0.34573614506994804)","(39.92467043314501, 0.34573614506994804)","(39.92467043314501, 0.34573614506994804)","(39.92467043314501, 0.34573614506994804)","(39.92467043314501, 0.34573614506994804)","(39.92467043314501, 0.34573614506994804)","(39.92467043314501, 0.34573614506994804)","(39.92467043314501, 0.34573614506994804)"
0.045,"(28.8135593220339, 0.1933258212330011)","(32.580037664783426, 0.2537217017368666)","(32.580037664783426, 0.2537217017368666)","(32.580037664783426, 0.2537217017368666)","(32.580037664783426, 0.2537217017368666)","(32.580037664783426, 0.2537217017368666)","(32.580037664783426, 0.2537217017368666)","(32.580037664783426, 0.2537217017368666)","(32.580037664783426, 0.2537217017368666)","(32.580037664783426, 0.2537217017368666)","(32.580037664783426, 0.2537217017368666)"
0.05,"(24.858757062146893, 0.14212317970014096)","(27.683615819209038, 0.17899870635260542)","(27.683615819209038, 0.17899870635260542)","(27.683615819209038, 0.17899870635260542)","(27.683615819209038, 0.17899870635260542)","(27.683615819209038, 0.17899870635260542)","(27.683615819209038, 0.17899870635260542)","(27.683615819209038, 0.17899870635260542)","(27.683615819209038, 0.17899870635260542)","(27.683615819209038, 0.17899870635260542)","(27.683615819209038, 0.17899870635260542)"
0.055,"(23.163841807909606, 0.12298873883591492)","(25.04708097928437, 0.14651808643053293)","(25.04708097928437, 0.14651808643053293)","(25.04708097928437, 0.14651808643053293)","(25.04708097928437, 0.14651808643053293)","(25.04708097928437, 0.14651808643053293)","(25.04708097928437, 0.14651808643053293)","(25.04708097928437, 0.14651808643053293)","(25.04708097928437, 0.14651808643053293)","(25.04708097928437, 0.14651808643053293)","(25.04708097928437, 0.14651808643053293)"
0.06,"(22.4105461393597, 0.1165316144874156)","(23.163841807909606, 0.12640390988411174)","(23.163841807909606, 0.12640390988411174)","(23.163841807909606, 0.12640390988411174)","(23.163841807909606, 0.12640390988411174)","(23.163841807909606, 0.12640390988411174)","(23.163841807909606, 0.12640390988411174)","(23.163841807909606, 0.12640390988411174)","(23.163841807909606, 0.12640390988411174)","(23.163841807909606, 0.12640390988411174)","(23.163841807909606, 0.12640390988411174)"
0.065,"(21.84557438794727, 0.11166550239542616)","(22.598870056497177, 0.12001080919900109)","(22.598870056497177, 0.12001080919900109)","(22.598870056497177, 0.12001080919900109)","(22.598870056497177, 0.12001080919900109)","(22.598870056497177, 0.12001080919900109)","(22.598870056497177, 0.12001080919900109)","(22.598870056497177, 0.12001080919900109)","(22.598870056497177, 0.12001080919900109)","(22.598870056497177, 0.12001080919900109)","(22.598870056497177, 0.12001080919900109)"
0.07,"(21.092278719397363, 0.1073364615053523)","(21.84557438794727, 0.113985907566691)","(21.84557438794727, 0.113985907566691)","(21.84557438794727, 0.113985907566691)","(21.84557438794727, 0.113985907566691)","(21.84557438794727, 0.113985907566691)","(21.84557438794727, 0.113985907566691)","(21.84557438794727, 0.113985907566691)","(21.84557438794727, 0.113985907566691)","(21.84557438794727, 0.113985907566691)","(21.84557438794727, 0.113985907566691)"
0.075,"(20.33898305084746, 0.10272098185141665)","(21.468926553672315, 0.10953499224736185)","(21.468926553672315, 0.10953499224736185)","(21.468926553672315, 0.10953499224736185)","(21.468926553672315, 0.10953499224736185)","(21.468926553672315, 0.10953499224736185)","(21.468926553672315, 0.10953499224736185)","(21.468926553672315, 0.10953499224736185)","(21.468926553672315, 0.10953499224736185)","(21.468926553672315, 0.10953499224736185)","(21.468926553672315, 0.10953499224736185)"
0.08,"(19.962335216572505, 0.10029622097590514)","(20.527306967984934, 0.10390334315393449)","(20.527306967984934, 0.10390334315393449)","(20.527306967984934, 0.10390334315393449)","(20.527306967984934, 0.10390334315393449)","(20.527306967984934, 0.10390334315393449)","(20.527306967984934, 0.10390334315393449)","(20.527306967984934, 0.10390334315393449)","(20.527306967984934, 0.10390334315393449)","(20.527306967984934, 0.10390334315393449)","(20.527306967984934, 0.10390334315393449)"
0.085,"(19.774011299435028, 0.09905273937532003)","(20.15065913370998, 0.10151878497202238)","(20.15065913370998, 0.10151878497202238)","(20.15065913370998, 0.10151878497202238)","(20.15065913370998, 0.10151878497202238)","(20.15065913370998, 0.10151878497202238)","(20.15065913370998, 0.10151878497202238)","(20.15065913370998, 0.10151878497202238)","(20.15065913370998, 0.10151878497202238)","(20.15065913370998, 0.10151878497202238)","(20.15065913370998, 0.10151878497202238)"
0.09,"(19.2090395480226, 0.09289476339420846)","(19.962335216572505, 0.10029622097590514)","(19.962335216572505, 0.10029622097590514)","(19.962335216572505, 0.10029622097590514)","(19.962335216572505, 0.10029622097590514)","(19.962335216572505, 0.10029622097590514)","(19.962335216572505, 0.10029622097590514)","(19.962335216572505, 0.10029622097590514)","(19.962335216572505, 0.10029622097590514)","(19.962335216572505, 0.10029622097590514)","(19.962335216572505, 0.10029622097590514)"
0.095,"(18.64406779661017, 0.08889535036411454)","(19.774011299435028, 0.09905273937532003)","(19.774011299435028, 0.09905273937532003)","(19.774011299435028, 0.09905273937532003)","(19.774011299435028, 0.09905273937532003)","(19.774011299435028, 0.09905273937532003)","(19.774011299435028, 0.09905273937532003)","(19.774011299435028, 0.09905273937532003)","(19.774011299435028, 0.09905273937532003)","(19.774011299435028, 0.09905273937532003)","(19.774011299435028, 0.09905273937532003)"
0.1,"(18.455743879472696, 0.08751377525463348)","(19.397363465160076, 0.0965007215007215)","(19.397363465160076, 0.0965007215007215)","(19.397363465160076, 0.0965007215007215)","(19.397363465160076, 0.0965007215007215)","(19.397363465160076, 0.0965007215007215)","(19.397363465160076, 0.0965007215007215)","(19.397363465160076, 0.0965007215007215)","(19.397363465160076, 0.0965007215007215)","(19.397363465160076, 0.0965007215007215)","(19.397363465160076, 0.0965007215007215)"
0.105,"(18.267419962335214, 0.08610681981973402)","(18.832391713747647, 0.09025225500308445)","(18.832391713747647, 0.09025225500308445)","(18.832391713747647, 0.09025225500308445)","(18.832391713747647, 0.09025225500308445)","(18.832391713747647, 0.09025225500308445)","(18.832391713747647, 0.09025225500308445)","(18.832391713747647, 0.09025225500308445)","(18.832391713747647, 0.09025225500308445)","(18.832391713747647, 0.09025225500308445)","(18.832391713747647, 0.09025225500308445)"
0.11,"(17.890772128060263, 0.08321379089705848)","(18.455743879472696, 0.08751377525463348)","(18.455743879472696, 0.08751377525463348)","(18.455743879472696, 0.08751377525463348)","(18.455743879472696, 0.08751377525463348)","(18.455743879472696, 0.08751377525463348)","(18.455743879472696, 0.08751377525463348)","(18.455743879472696, 0.08751377525463348)","(18.455743879472696, 0.08751377525463348)","(18.455743879472696, 0.08751377525463348)","(18.455743879472696, 0.08751377525463348)"
0.115,"(17.702448210922785, 0.08172615599278807)","(18.267419962335214, 0.08610681981973402)","(18.267419962335214, 0.08610681981973402)","(18.267419962335214, 0.08610681981973402)","(18.267419962335214, 0.08610681981973402)","(18.267419962335214, 0.08610681981973402)","(18.267419962335214, 0.08610681981973402)","(18.267419962335214, 0.08610681981973402)","(18.267419962335214, 0.08610681981973402)","(18.267419962335214, 0.08610681981973402)","(18.267419962335214, 0.08610681981973402)"
0.12,"(17.702448210922785, 0.08172615599278807)","(17.890772128060263, 0.08321379089705848)","(17.890772128060263, 0.08321379089705848)","(17.890772128060263, 0.08321379089705848)","(17.890772128060263, 0.08321379089705848)","(17.890772128060263, 0.08321379089705848)","(17.890772128060263, 0.08321379089705848)","(17.890772128060263, 0.08321379089705848)","(17.890772128060263, 0.08321379089705848)","(17.890772128060263, 0.08321379089705848)","(17.890772128060263, 0.08321379089705848)"
0.125,"(17.702448210922785, 0.08172615599278807)","(17.890772128060263, 0.08321379089705848)","(17.890772128060263, 0.08321379089705848)","(17.890772128060263, 0.08321379089705848)","(17.890772128060263, 0.08321379089705848)","(17.890772128060263, 0.08321379089705848)","(17.890772128060263, 0.08321379089705848)","(17.890772128060263, 0.08321379089705848)","(17.890772128060263, 0.08321379089705848)","(17.890772128060263, 0.08321379089705848)","(17.890772128060263, 0.08321379089705848)"
0.13,"(17.13747645951036, 0.07708873935289029)","(17.702448210922785, 0.08172615599278807)","(17.702448210922785, 0.08172615599278807)","(17.702448210922785, 0.08172615599278807)","(17.702448210922785, 0.08172615599278807)","(17.702448210922785, 0.08172615599278807)","(17.702448210922785, 0.08172615599278807)","(17.702448210922785, 0.08172615599278807)","(17.702448210922785, 0.08172615599278807)","(17.702448210922785, 0.08172615599278807)","(17.702448210922785, 0.08172615599278807)"
0.135,"(16.760828625235405, 0.07174062870926981)","(17.702448210922785, 0.08172615599278807)","(17.702448210922785, 0.08172615599278807)","(17.702448210922785, 0.08172615599278807)","(17.702448210922785, 0.08172615599278807)","(17.702448210922785, 0.08172615599278807)","(17.702448210922785, 0.08172615599278807)","(17.702448210922785, 0.08172615599278807)","(17.702448210922785, 0.08172615599278807)","(17.702448210922785, 0.08172615599278807)","(17.702448210922785, 0.08172615599278807)"
0.14,"(16.38418079096045, 0.06842948717948719)","(17.702448210922785, 0.08172615599278807)","(17.702448210922785, 0.08172615599278807)","(17.702448210922785, 0.08172615599278807)","(17.702448210922785, 0.08172615599278807)","(17.702448210922785, 0.08172615599278807)","(17.702448210922785, 0.08172615599278807)","(17.702448210922785, 0.08172615599278807)","(17.702448210922785, 0.08172615599278807)","(17.702448210922785, 0.08172615599278807)","(17.702448210922785, 0.08172615599278807)"
0.145,"(16.195856873822976, 0.0667231035861885)","(17.325800376647834, 0.07866450781482337)","(17.325800376647834, 0.07866450781482337)","(17.325800376647834, 0.07866450781482337)","(17.325800376647834, 0.07866450781482337)","(17.325800376647834, 0.07866450781482337)","(17.325800376647834, 0.07866450781482337)","(17.325800376647834, 0.07866450781482337)","(17.325800376647834, 0.07866450781482337)","(17.325800376647834, 0.07866450781482337)","(17.325800376647834, 0.07866450781482337)"
0.15,"(15.819209039548024, 0.06320322109223998)","(17.13747645951036, 0.07708873935289029)","(17.13747645951036, 0.07708873935289029)","(17.13747645951036, 0.07708873935289029)","(17.13747645951036, 0.07708873935289029)","(17.13747645951036, 0.07708873935289029)","(17.13747645951036, 0.07708873935289029)","(17.13747645951036, 0.07708873935289029)","(17.13747645951036, 0.07708873935289029)","(17.13747645951036, 0.07708873935289029)","(17.13747645951036, 0.07708873935289029)"
0.155,"(15.44256120527307, 0.05953263603866014)","(16.760828625235405, 0.07384265456292821)","(16.760828625235405, 0.07384265456292821)","(16.760828625235405, 0.07384265456292821)","(16.760828625235405, 0.07384265456292821)","(16.760828625235405, 0.07384265456292821)","(16.760828625235405, 0.07384265456292821)","(16.760828625235405, 0.07384265456292821)","(16.760828625235405, 0.07384265456292821)","(16.760828625235405, 0.07384265456292821)","(16.760828625235405, 0.07384265456292821)"
0.16,"(15.44256120527307, 0.05953263603866014)","(16.760828625235405, 0.07384265456292821)","(16.760828625235405, 0.07384265456292821)","(16.760828625235405, 0.07384265456292821)","(16.760828625235405, 0.07384265456292821)","(16.760828625235405, 0.07384265456292821)","(16.760828625235405, 0.07384265456292821)","(16.760828625235405, 0.07384265456292821)","(16.760828625235405, 0.07384265456292821)","(16.760828625235405, 0.07384265456292821)","(16.760828625235405, 0.07384265456292821)"
0.165,"(15.44256120527307, 0.05953263603866014)","(16.57250470809793, 0.07217035821711786)","(16.57250470809793, 0.07217035821711786)","(16.57250470809793, 0.07217035821711786)","(16.57250470809793, 0.07217035821711786)","(16.57250470809793, 0.07217035821711786)","(16.57250470809793, 0.07217035821711786)","(16.57250470809793, 0.07217035821711786)","(16.57250470809793, 0.07217035821711786)","(16.57250470809793, 0.07217035821711786)","(16.57250470809793, 0.07217035821711786)"
0.17,"(15.44256120527307, 0.05953263603866014)","(16.195856873822976, 0.06872199189178094)","(16.195856873822976, 0.06872199189178094)","(16.195856873822976, 0.06872199189178094)","(16.195856873822976, 0.06872199189178094)","(16.195856873822976, 0.06872199189178094)","(16.195856873822976, 0.06872199189178094)","(16.195856873822976, 0.06872199189178094)","(16.195856873822976, 0.06872199189178094)","(16.195856873822976, 0.06872199189178094)","(16.195856873822976, 0.06872199189178094)"
0.17500000000000002,"(15.254237288135593, 0.05763767732839897)","(15.819209039548024, 0.06320322109223998)","(15.819209039548024, 0.06320322109223998)","(15.819209039548024, 0.06320322109223998)","(15.819209039548024, 0.06320322109223998)","(15.819209039548024, 0.06320322109223998)","(15.819209039548024, 0.06320322109223998)","(15.819209039548024, 0.06320322109223998)","(15.819209039548024, 0.06320322109223998)","(15.819209039548024, 0.06320322109223998)","(15.819209039548024, 0.06320322109223998)"
0.18,"(15.254237288135593, 0.05763767732839897)","(15.44256120527307, 0.05953263603866014)","(15.44256120527307, 0.05953263603866014)","(15.44256120527307, 0.05953263603866014)","(15.44256120527307, 0.05953263603866014)","(15.44256120527307, 0.05953263603866014)","(15.44256120527307, 0.05953263603866014)","(15.44256120527307, 0.05953263603866014)","(15.44256120527307, 0.05953263603866014)","(15.44256120527307, 0.05953263603866014)","(15.44256120527307, 0.05953263603866014)"
0.185,"(15.065913370998116, 0.055701146426183526)","(15.44256120527307, 0.05953263603866014)","(15.44256120527307, 0.05953263603866014)","(15.44256120527307, 0.05953263603866014)","(15.44256120527307, 0.05953263603866014)","(15.44256120527307, 0.05953263603866014)","(15.44256120527307, 0.05953263603866014)","(15.44256120527307, 0.05953263603866014)","(15.44256120527307, 0.05953263603866014)","(15.44256120527307, 0.05953263603866014)","(15.44256120527307, 0.05953263603866014)"
0.19,"(14.87758945386064, 0.053721620844908516)","(15.44256120527307, 0.05953263603866014)","(15.44256120527307, 0.05953263603866014)","(15.44256120527307, 0.05953263603866014)","(15.44256120527307, 0.05953263603866014)","(15.44256120527307, 0.05953263603866014)","(15.44256120527307, 0.05953263603866014)","(15.44256120527307, 0.05953263603866014)","(15.44256120527307, 0.05953263603866014)","(15.44256120527307, 0.05953263603866014)","(15.44256120527307, 0.05953263603866014)"
0.195,"(14.689265536723164, 0.051697612732095485)","(15.44256120527307, 0.05953263603866014)","(15.44256120527307, 0.05953263603866014)","(15.44256120527307, 0.05953263603866014)","(15.44256120527307, 0.05953263603866014)","(15.44256120527307, 0.05953263603866014)","(15.44256120527307, 0.05953263603866014)","(15.44256120527307, 0.05953263603866014)","(15.44256120527307, 0.05953263603866014)","(15.44256120527307, 0.05953263603866014)","(15.44256120527307, 0.05953263603866014)"
0.2,"(14.689265536723164, 0.051697612732095485)","(15.44256120527307, 0.05953263603866014)","(15.44256120527307, 0.05953263603866014)","(15.44256120527307, 0.05953263603866014)","(15.44256120527307, 0.05953263603866014)","(15.44256120527307, 0.05953263603866014)","(15.44256120527307, 0.05953263603866014)","(15.44256120527307, 0.05953263603866014)","(15.44256120527307, 0.05953263603866014)","(15.44256120527307, 0.05953263603866014)","(15.44256120527307, 0.05953263603866014)"
0.20500000000000002,"(14.500941619585687, 0.049627565069266785)","(15.44256120527307, 0.05953263603866014)","(15.44256120527307, 0.05953263603866014)","(15.44256120527307, 0.05953263603866014)","(15.44256120527307, 0.05953263603866014)","(15.44256120527307, 0.05953263603866014)","(15.44256120527307, 0.05953263603866014)","(15.44256120527307, 0.05953263603866014)","(15.44256120527307, 0.05953263603866014)","(15.44256120527307, 0.05953263603866014)","(15.44256120527307, 0.05953263603866014)"
0.21,"(14.312617702448211, 0.04750984760304331)","(15.254237288135593, 0.05763767732839897)","(15.254237288135593, 0.05763767732839897)","(15.254237288135593, 0.05763767732839897)","(15.254237288135593, 0.05763767732839897)","(15.254237288135593, 0.05763767732839897)","(15.254237288135593, 0.05763767732839897)","(15.254237288135593, 0.05763767732839897)","(15.254237288135593, 0.05763767732839897)","(15.254237288135593, 0.05763767732839897)","(15.254237288135593, 0.05763767732839897)"
0.215,"(14.312617702448211, 0.04750984760304331)","(15.065913370998116, 0.055701146426183526)","(15.065913370998116, 0.055701146426183526)","(15.065913370998116, 0.055701146426183526)","(15.065913370998116, 0.055701146426183526)","(15.065913370998116, 0.055701146426183526)","(15.065913370998116, 0.055701146426183526)","(15.065913370998116, 0.055701146426183526)","(15.065913370998116, 0.055701146426183526)","(15.065913370998116, 0.055701146426183526)","(15.065913370998116, 0.055701146426183526)"
0.22,"(14.124293785310735, 0.04534275248560963)","(15.065913370998116, 0.055701146426183526)","(15.065913370998116, 0.055701146426183526)","(15.065913370998116, 0.055701146426183526)","(15.065913370998116, 0.055701146426183526)","(15.065913370998116, 0.055701146426183526)","(15.065913370998116, 0.055701146426183526)","(15.065913370998116, 0.055701146426183526)","(15.065913370998116, 0.055701146426183526)","(15.065913370998116, 0.055701146426183526)","(15.065913370998116, 0.055701146426183526)"
0.225,"(14.124293785310735, 0.04534275248560963)","(14.689265536723164, 0.051697612732095485)","(14.689265536723164, 0.051697612732095485)","(14.689265536723164, 0.051697612732095485)","(14.689265536723164, 0.051697612732095485)","(14.689265536723164, 0.051697612732095485)","(14.689265536723164, 0.051697612732095485)","(14.689265536723164, 0.051697612732095485)","(14.689265536723164, 0.051697612732095485)","(14.689265536723164, 0.051697612732095485)","(14.689265536723164, 0.051697612732095485)"
0.23,"(14.124293785310735, 0.04534275248560963)","(14.689265536723164, 0.051697612732095485)","(14.689265536723164, 0.051697612732095485)","(14.689265536723164, 0.051697612732095485)","(14.689265536723164, 0.051697612732095485)","(14.689265536723164, 0.051697612732095485)","(14.689265536723164, 0.051697612732095485)","(14.689265536723164, 0.051697612732095485)","(14.689265536723164, 0.051697612732095485)","(14.689265536723164, 0.051697612732095485)","(14.689265536723164, 0.051697612732095485)"
0.23500000000000001,"(14.124293785310735, 0.04534275248560963)","(14.689265536723164, 0.051697612732095485)","(14.689265536723164, 0.051697612732095485)","(14.689265536723164, 0.051697612732095485)","(14.689265536723164, 0.051697612732095485)","(14.689265536723164, 0.051697612732095485)","(14.689265536723164, 0.051697612732095485)","(14.689265536723164, 0.051697612732095485)","(14.689265536723164, 0.051697612732095485)","(14.689265536723164, 0.051697612732095485)","(14.689265536723164, 0.051697612732095485)"
0.24,"(14.124293785310735, 0.04534275248560963)","(14.500941619585687, 0.049627565069266785)","(14.500941619585687, 0.049627565069266785)","(14.500941619585687, 0.049627565069266785)","(14.500941619585687, 0.049627565069266785)","(14.500941619585687, 0.049627565069266785)","(14.500941619585687, 0.049627565069266785)","(14.500941619585687, 0.049627565069266785)","(14.500941619585687, 0.049627565069266785)","(14.500941619585687, 0.049627565069266785)","(14.500941619585687, 0.049627565069266785)"
0.245,"(14.124293785310735, 0.04534275248560963)","(14.500941619585687, 0.049627565069266785)","(14.500941619585687, 0.049627565069266785)","(14.500941619585687, 0.049627565069266785)","(14.500941619585687, 0.049627565069266785)","(14.500941619585687, 0.049627565069266785)","(14.500941619585687, 0.049627565069266785)","(14.500941619585687, 0.049627565069266785)","(14.500941619585687, 0.049627565069266785)","(14.500941619585687, 0.049627565069266785)","(14.500941619585687, 0.049627565069266785)"
0.25,"(14.124293785310735, 0.04534275248560963)","(14.500941619585687, 0.049627565069266785)","(14.500941619585687, 0.049627565069266785)","(14.500941619585687, 0.049627565069266785)","(14.500941619585687, 0.049627565069266785)","(14.500941619585687, 0.049627565069266785)","(14.500941619585687, 0.049627565069266785)","(14.500941619585687, 0.049627565069266785)","(14.500941619585687, 0.049627565069266785)","(14.500941619585687, 0.049627565069266785)","(14.500941619585687, 0.049627565069266785)"
