,1,10,20,30,40,50,60,70,80,90,100
0.255,"(14.124293785310735, 0.04534275248560963)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)"
0.26,"(14.124293785310735, 0.04534275248560963)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)"
0.265,"(14.124293785310735, 0.04534275248560963)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)"
0.27,"(14.124293785310735, 0.04534275248560963)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)"
0.275,"(14.124293785310735, 0.04534275248560963)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)"
0.28,"(14.124293785310735, 0.04534275248560963)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)"
0.28500000000000003,"(14.124293785310735, 0.04534275248560963)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)"
0.29,"(14.124293785310735, 0.04534275248560963)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)","(14.312617702448211, 0.04750984760304331)"
0.295,"(14.312617702448211, 0.04750984760304331)","(14.500941619585687, 0.049627565069266785)","(14.500941619585687, 0.049627565069266785)","(14.500941619585687, 0.049627565069266785)","(14.500941619585687, 0.049627565069266785)","(14.500941619585687, 0.049627565069266785)","(14.500941619585687, 0.049627565069266785)","(14.500941619585687, 0.049627565069266785)","(14.500941619585687, 0.049627565069266785)","(14.500941619585687, 0.049627565069266785)","(14.500941619585687, 0.049627565069266785)"
0.3,"(14.500941619585687, 0.049627565069266785)","(14.689265536723164, 0.051697612732095485)","(14.689265536723164, 0.051697612732095485)","(14.689265536723164, 0.051697612732095485)","(14.689265536723164, 0.051697612732095485)","(14.689265536723164, 0.051697612732095485)","(14.689265536723164, 0.051697612732095485)","(14.689265536723164, 0.051697612732095485)","(14.689265536723164, 0.051697612732095485)","(14.689265536723164, 0.051697612732095485)","(14.689265536723164, 0.051697612732095485)"
0.305,"(14.87758945386064, 0.053721620844908516)","(15.065913370998116, 0.055701146426183526)","(15.065913370998116, 0.055701146426183526)","(15.065913370998116, 0.055701146426183526)","(15.065913370998116, 0.055701146426183526)","(15.065913370998116, 0.055701146426183526)","(15.065913370998116, 0.055701146426183526)","(15.065913370998116, 0.055701146426183526)","(15.065913370998116, 0.055701146426183526)","(15.065913370998116, 0.055701146426183526)","(15.065913370998116, 0.055701146426183526)"
0.31,"(15.44256120527307, 0.05953263603866014)","(15.44256120527307, 0.05953263603866014)","(15.44256120527307, 0.05953263603866014)","(15.44256120527307, 0.05953263603866014)","(15.44256120527307, 0.05953263603866014)","(15.44256120527307, 0.05953263603866014)","(15.44256120527307, 0.05953263603866014)","(15.44256120527307, 0.05953263603866014)","(15.44256120527307, 0.05953263603866014)","(15.44256120527307, 0.05953263603866014)","(15.44256120527307, 0.05953263603866014)"
0.315,"(15.819209039548024, 0.06320322109223998)","(16.0075329566855, 0.0649813964287939)","(16.0075329566855, 0.0649813964287939)","(16.0075329566855, 0.0649813964287939)","(16.0075329566855, 0.0649813964287939)","(16.0075329566855, 0.0649813964287939)","(16.0075329566855, 0.0649813964287939)","(16.0075329566855, 0.0649813964287939)","(16.0075329566855, 0.0649813964287939)","(16.0075329566855, 0.0649813964287939)","(16.0075329566855, 0.0649813964287939)"
0.32,"(14.312617702448211, 0.025041186161449753)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)"
0.325,"(14.312617702448211, 0.025041186161449753)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)"
0.33,"(14.312617702448211, 0.025041186161449753)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)"
0.335,"(14.312617702448211, 0.025041186161449753)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)"
0.34,"(14.312617702448211, 0.025041186161449753)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)"
0.34500000000000003,"(14.312617702448211, 0.025041186161449753)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)"
0.35000000000000003,"(14.312617702448211, 0.025041186161449753)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)"
0.355,"(14.312617702448211, 0.025041186161449753)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)"
0.36,"(14.312617702448211, 0.025041186161449753)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)"
0.365,"(14.312617702448211, 0.025041186161449753)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)"
0.37,"(14.312617702448211, 0.025041186161449753)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)"
0.375,"(14.312617702448211, 0.025041186161449753)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)"
0.38,"(14.312617702448211, 0.025041186161449753)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)"
0.385,"(14.312617702448211, 0.025041186161449753)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)"
0.39,"(14.312617702448211, 0.025041186161449753)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)"
0.395,"(14.312617702448211, 0.025041186161449753)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)"
0.4,"(14.312617702448211, 0.025041186161449753)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)"
0.405,"(14.312617702448211, 0.025041186161449753)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)"
0.41000000000000003,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.41500000000000004,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.42,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.425,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.43,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.435,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.44,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.445,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.45,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.455,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.46,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.465,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.47000000000000003,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.47500000000000003,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.48,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.485,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.49,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.495,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.5,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
